19:37:44.192 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get screenshotOnFail value
19:37:44.552 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Capture alertBox_Click_Should_ShowAlertMessage_And_Accept screenshot
19:37:45.726 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Driver tear down
19:37:45.773 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Read src/test/java/TestData/BasicTestsData/BoostrapAlertsData.xlsx data
19:37:45.774 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get browser value
19:37:45.775 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get url value
19:37:45.800 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get headless value
19:37:52.008 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Initializing driver
19:37:52.009 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get author value
19:37:52.009 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Test boostrapAlert_Click_AutoInfo_Should_Show_Message_And_Disappear Started
19:37:52.084 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Wait for [[[ChromeDriver: chrome on windows (9b075858b4a9acb591bfc841e472abc2)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (9b075858b4a9acb591bfc841e472abc2)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (9b075858b4a9acb591bfc841e472abc2)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (9b075858b4a9acb591bfc841e472abc2)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (9b075858b4a9acb591bfc841e472abc2)] -> css selector: #myTab a]] to be visible
19:37:52.155 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Chose basic_example level
19:37:52.711 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Wait for [[ChromeDriver: chrome on windows (9b075858b4a9acb591bfc841e472abc2)] -> css selector: .active.in .list-group] to be visible
19:37:53.397 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Chose Bootstrap Alerts exercise
19:38:00.389 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Wait for [[ChromeDriver: chrome on windows (9b075858b4a9acb591bfc841e472abc2)] -> css selector: .alert-autocloseable-info] to disappear
19:38:00.406 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Test boostrapAlert_Click_AutoInfo_Should_Show_Message_And_Disappear Passed
19:38:00.406 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get screenshotOnSuccess value
19:38:00.677 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Driver tear down
19:38:00.754 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Read src/test/java/TestData/BasicTestsData/BoostrapAlertsData.xlsx data
19:38:00.756 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get browser value
19:38:00.756 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get url value
19:38:00.785 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get headless value
19:38:07.156 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Initializing driver
19:38:07.157 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get author value
19:38:07.158 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Test boostrapAlert_Click_AutoSuccess_Should_Show_Message_And_Disappear Started
19:38:07.239 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Wait for [[[ChromeDriver: chrome on windows (566494218f3fedc84def905f32ca8e6f)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (566494218f3fedc84def905f32ca8e6f)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (566494218f3fedc84def905f32ca8e6f)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (566494218f3fedc84def905f32ca8e6f)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (566494218f3fedc84def905f32ca8e6f)] -> css selector: #myTab a]] to be visible
19:38:07.330 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Chose basic_example level
19:38:07.923 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Wait for [[ChromeDriver: chrome on windows (566494218f3fedc84def905f32ca8e6f)] -> css selector: .active.in .list-group] to be visible
19:38:08.560 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Chose Bootstrap Alerts exercise
19:38:14.470 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Wait for [[ChromeDriver: chrome on windows (566494218f3fedc84def905f32ca8e6f)] -> css selector: .alert-autocloseable-success] to disappear
19:38:14.483 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Test boostrapAlert_Click_AutoSuccess_Should_Show_Message_And_Disappear Passed
19:38:14.483 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get screenshotOnSuccess value
19:38:14.732 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Driver tear down
19:38:14.772 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Read src/test/java/TestData/BasicTestsData/BoostrapAlertsData.xlsx data
19:38:14.774 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get browser value
19:38:14.774 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get url value
19:38:14.799 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get headless value
19:38:21.053 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Initializing driver
19:38:21.054 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get author value
19:38:21.056 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Test boostrapAlert_Click_Success_Should_Show_Message Started
